"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BEAUTIFULPlCS: May the forest be with you ������������ https://t.co/z1lREFvGWJ",FALSE,0,NA,2016-11-13 00:07:35,FALSE,NA,"797591705725726720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jingxo",63,TRUE,FALSE,NA,NA
"Wake Forest Lit ������������",FALSE,0,NA,2016-11-13 00:07:34,FALSE,NA,"797591698503270400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThrowItTo8",0,FALSE,FALSE,NA,NA
"No. 5 Louisville is set to take on Wake Forest. Follow for live game updates.",FALSE,0,NA,2016-11-13 00:07:33,FALSE,NA,"797591697446305792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheCardSports",0,FALSE,FALSE,NA,NA
"Smile #dental clinic  Lake Forest,CA .Follow Us @Smileonyou1 now https://t.co/jy2tvT6YaP https://t.co/BL9hq9TfvG",FALSE,0,NA,2016-11-13 00:07:33,FALSE,NA,"797591694560624641",NA,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","smileonyou2",0,FALSE,FALSE,NA,NA
"#envivofestfm : 234 : The Cure - A Forest",FALSE,0,NA,2016-11-13 00:07:32,FALSE,NA,"797591691976806400",NA,"<a href=""http://festfm.wixsite.com/festfmplayermp3"" rel=""nofollow"">festfmmx</a>","festfmmx",0,FALSE,FALSE,NA,NA
"RT @UofLFootball: Less than 30 minutes from kickoff against Wake Forest has us feeling like ... https://t.co/31pY92PaxY",FALSE,0,NA,2016-11-13 00:07:32,FALSE,NA,"797591691310014464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealEra_",24,TRUE,FALSE,NA,NA
"RT @Arcanlz: No te pierdas el nuevo directo de The Forest ^^!! Locuras en el Bosque ^^! https://t.co/07qNJfjg1h",FALSE,0,NA,2016-11-13 00:07:27,FALSE,NA,"797591669029867520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Victor24746462",2,TRUE,FALSE,NA,NA
"@Noah__Forest 大丈夫…？嫌なら逃げてええんよ？",FALSE,0,"Noah__Forest",2016-11-13 00:07:27,FALSE,"797590840029761536","797591668752977920","630295617","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","c6h4clch3",0,FALSE,FALSE,NA,NA
"AM7:30 フロントガラスは薄っすら凍り、朝靄の山中湖は幻想的です。 https://t.co/9sfIczJW7R",FALSE,0,NA,2016-11-13 00:07:26,FALSE,NA,"797591667238899712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","forest_cottage",0,FALSE,FALSE,NA,NA
"Jaylen Smith fumbles on first play. Wake gets it at UofL 40.  https://t.co/tUqW4e5tDA via @courierjournal",FALSE,0,NA,2016-11-13 00:07:22,FALSE,NA,"797591650398707712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SteveJones_CJ",1,FALSE,FALSE,NA,NA
"RT @Arcanlz: No te pierdas el nuevo directo de The Forest ^^!! Locuras en el Bosque ^^! https://t.co/07qNJfjg1h",FALSE,0,NA,2016-11-13 00:07:21,FALSE,NA,"797591645680271360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Laius_dreams",2,TRUE,FALSE,NA,NA
"RT @twentonepiIots: forest: é como as pessoas deixam de se importarem umas com as outras estando na mesma situação. todos precisam ser escu…",FALSE,0,NA,2016-11-13 00:07:17,FALSE,NA,"797591629112758272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","outerspacies",112,TRUE,FALSE,NA,NA
"Jaylen Smith fumble on opening play.  Wake Forest football.",FALSE,1,NA,2016-11-13 00:07:16,FALSE,NA,"797591624104771584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UofLSheriff50",0,FALSE,FALSE,NA,NA
"We had a wonderful day exploring rural areas. It looked like a little tiny forest habitat on this stump!... https://t.co/tiyMwHZ88v",FALSE,0,NA,2016-11-13 00:07:13,FALSE,NA,"797591613694361600",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MyGardenHaven",0,FALSE,FALSE,NA,NA
"@celedark1 ...글쎄. 딱히.. 상냥하지는 않은데.",FALSE,0,"celedark1",2016-11-13 00:07:12,FALSE,"797591501060476928","797591606069080064","1427074291","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4_ichi_forest",0,FALSE,FALSE,NA,NA
"I liked a @YouTube video from @goldengoalfm https://t.co/2EFTmh8PDL We Are Forest Green Rovers S1 E15 | Football Manager 2017",FALSE,0,NA,2016-11-13 00:07:11,FALSE,NA,"797591604076781569",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","NCJesster",0,FALSE,FALSE,NA,NA
"CONSOLE XBOX ONE 1TB GEARS OF WAR: UL... https://t.co/7rWzPCe1FX",FALSE,0,NA,2016-11-13 00:07:09,FALSE,NA,"797591597307170816",NA,"<a href=""http://www.bukalapak.com"" rel=""nofollow"">Bukalapak</a>","JualDVDBlank",0,FALSE,FALSE,NA,NA
