"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @akaashine: Gretel aka siyah // forest green
- literally trees
- a forest
- also a mug color",FALSE,0,NA,2016-11-13 05:52:11,FALSE,NA,"797678426647883776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crownoya",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/797545749760405504/hwHWBwXZ_normal.jpg"
"""Instant Forest Witacker eye""- rick",FALSE,0,NA,2016-11-13 05:52:10,FALSE,NA,"797678420155043840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","khugs106",0,FALSE,FALSE,NA,NA,"Waterford, NY ","en","http://pbs.twimg.com/profile_images/671045442126352384/ZpXjD-jY_normal.jpg"
"RT @manndamm: 昔、飲酒導師から「飲酒後のラーメン様は悪と言われるが、しこたま入れてなおラーメン様を美味いと思えるほど理性と胃に余力を持たせた優雅な飲酒が悪いはずがない。むしろ飲してなお食すコンディションこそベスト。よって飲酒後のラーメン様は善」と教わったので、この…",FALSE,0,NA,2016-11-13 05:52:10,FALSE,NA,"797678419664216064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","apricot_forest",95,TRUE,FALSE,NA,NA,"東京 星が見えるところ","ja","http://pbs.twimg.com/profile_images/732205103357140992/A9ujqmzn_normal.jpg"
"RT @0_0bbbbbbbb: 또래답지 않게 개저씨 같지 않고 아주 개념찬 중년이네요",FALSE,0,NA,2016-11-13 05:52:08,FALSE,NA,"797678414509457411",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","snowy__forest",738,TRUE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/788702878777036800/_ABDryYf_normal.jpg"
"Nottingham Forest goalkeeper Vladimir Stojkovic helps frustrate... https://t.co/lnyjAJK3Kx #NFFC #forest",FALSE,0,NA,2016-11-13 05:52:06,FALSE,NA,"797678406641057792",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","forestlivenews",0,FALSE,FALSE,NA,NA,"Nottingham, England","en","http://pbs.twimg.com/profile_images/592655450220449792/uQKWE0NJ_normal.png"
"RT @0_0bbbbbbbb: 젊은 남성분이 생각이 깊으시네요
나이많은 중년 남성분이 생각이 바르시네요",FALSE,0,NA,2016-11-13 05:52:06,FALSE,NA,"797678405869129728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","snowy__forest",936,TRUE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/788702878777036800/_ABDryYf_normal.jpg"
"LA friend just had a limo driver tell him ""Mexicans"" are starting forest fires in every state but media isn't reporting. Trump's America.",FALSE,0,NA,2016-11-13 05:52:05,FALSE,NA,"797678399422484480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElizabethRowin",0,FALSE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/797266592153235456/p3iD6pqz_normal.jpg"
"RT @ESPNCFB: C-A-R-D-S. 

Louisville storms back and scores 44 unanswered to beat Wake Forest. https://t.co/GhBKxrsclp",FALSE,0,NA,2016-11-13 05:51:58,FALSE,NA,"797678372247764993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","colestumler1",338,TRUE,FALSE,NA,NA,"The Ville, KY","en","http://pbs.twimg.com/profile_images/783803067531747328/YLUgwb19_normal.jpg"
"IM CURRENTLY GOING TO THE ABANDONED FOREST HAVEN ASYLUM. THIS MAY OR MAY NOT BE MY LAST TWEET. SO WISH ME LUCK. GOOD NIGHT.",FALSE,1,NA,2016-11-13 05:51:51,FALSE,NA,"797678341096665088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RenzMelchor",0,FALSE,FALSE,NA,NA,"east coast","en","http://pbs.twimg.com/profile_images/796683757990346752/KgTeQxKe_normal.jpg"
"@5_jushi_forest 응. 나중에, 같이 하자. 난 코타츠에서 나갈 수가 없어서 아직... ... 코타츠가 날 놔주지 않아.",FALSE,0,"5_jushi_forest",2016-11-13 05:51:47,FALSE,"797677698856296448","797678326290616320","775541934995574784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Benign_ichi",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/797384259795230721/nRIv-NGP_normal.jpg"
"sex girls photos in forest https://t.co/IB5YHs5wUT",FALSE,0,NA,2016-11-13 05:51:46,FALSE,NA,"797678322247487488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JDB199",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png"
"RT @jerzydread: Wake Forest Defense is playing tough!! @Paris7black ������",FALSE,0,NA,2016-11-13 05:51:42,FALSE,NA,"797678304560029696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BMACICE",2,TRUE,FALSE,NA,NA,"910 - North Carolina","en","http://pbs.twimg.com/profile_images/785153487017476096/7kuHIpG-_normal.jpg"
"RT @kishito: はわわ〜������ https://t.co/UqgmViD8yc",FALSE,0,NA,2016-11-13 05:51:42,FALSE,NA,"797678303876259840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tricky_forest",4,TRUE,FALSE,NA,NA,"Fukuoka ","ja","http://pbs.twimg.com/profile_images/742307703947567104/42FqcC9h_normal.jpg"
"#Deep Forest #Sweet Lullaby 1998",FALSE,0,NA,2016-11-13 05:51:32,FALSE,NA,"797678260251426816",NA,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","SingleWebradio",0,FALSE,FALSE,NA,NA,"Montpellier, France","fr","http://pbs.twimg.com/profile_images/755495814370328579/QXt1vpHg_normal.jpg"
"RT @jeffgreer_cj: Transcript: Bobby Petrino, Lamar Jackson review Louisville's 44-12 win over Wake Forest. https://t.co/mA0KgJ68wy",FALSE,0,NA,2016-11-13 05:51:30,FALSE,NA,"797678255826472960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SteveJones_CJ",1,TRUE,FALSE,NA,NA,"Louisville, KY","en","http://pbs.twimg.com/profile_images/585605609850085376/0dvipjty_normal.jpg"
